pop_size: 1500, generations: 250, Px: 0.75, Pm: 0.2, Tour: 10, Elite: 0.04;;;
223;22725;23308;30344
224;22725;23235;34374
225;22725;23392;33500
226;22725;23693;35000
227;22725;24377;34893
228;22725;24098;35904
229;22725;23222;30387
230;22725;23213;30143
231;22725;23203;30111
232;22648;23252;30476
233;22648;23206;30139
234;22648;23242;30283
235;22648;23207;29855
236;22648;23159;30182
237;22648;23138;30213
238;22648;23209;30062
239;22648;23214;30197
240;22648;23164;30193
241;22648;23144;30158
242;22648;23156;30162
243;22648;23167;30286
244;22648;23184;30162
245;22648;23109;30310
246;22648;23120;30033
247;22648;23113;29934
248;22648;23128;30380
249;22648;23197;30286
250;22648;23135;30163
32,45,15,17,59,74,21,36,99,38,24,18,79,88,16,94,22,70,66,26,65,4,97,56,80,31,89,42,8,92,1,93,28,67,58,51,87,61,25,81,69,73,68,85,50,44,64,40,54,2,82,95,13,76,33,37,5,52,78,96,39,30,48,100,41,71,14,3,43,46,29,34,83,55,7,9,57,12,27,35,86,20,62,60,77,23,98,91,47,63,6,49,75,19,53,90,10,84,72,11,;;;
