pop_size: 4000, generations: 600, Px: 0.75, Pm: 0.2, Tour: 30, Elite: 0.04;;;
205;40340;41288;47012
206;40024;41202;47430
207;39810;40953;47343
208;39591;40697;47624
209;39292;40450;47000
210;38965;40154;46775
211;38831;39855;45724
212;38411;39605;46882
213;38313;39311;45256
214;38027;39124;44943
215;37769;38917;48354
216;37550;38655;48818
217;37361;38295;43867
218;37140;38090;44075
219;36947;37902;44286
220;36808;37617;43818
221;36565;37402;42620
222;36168;37213;43021
223;36096;36965;42819
224;35872;36721;43325
225;35587;36505;41511
226;35263;36293;42516
227;35017;36048;41682
228;34842;35915;42342
229;34737;35891;42125
230;34675;35438;41523
231;34462;35212;40651
232;34289;35125;40943
233;34246;34981;41025
234;34133;34876;41299
235;34019;34782;40906
236;33857;34674;41225
237;33734;34528;40972
238;33634;34418;40632
239;33508;34276;39915
240;33437;34212;40788
241;33238;34051;41481
242;33170;33942;40744
243;32987;33716;39493
244;32832;33648;39999
245;32662;33473;38940
246;32550;33346;39645
247;32435;33133;39256
248;31703;33051;38426
249;31703;33038;39435
250;31566;33201;40782
251;31511;33579;41869
252;31388;32103;37821
253;31338;32093;37601
254;31281;32077;37714
255;31132;32034;39277
256;31094;31862;40525
257;30839;31866;38671
258;30444;31781;38363
259;29892;31563;37915
260;29773;31348;37563
261;29764;30842;36981
262;29675;30333;36376
263;29376;30177;36290
264;29257;30118;38161
265;29039;30169;38617
266;28634;29791;37518
267;28473;29590;36312
268;28026;29755;37653
269;27851;29288;36762
270;27496;28920;37120
271;27359;28261;35800
272;27332;27938;35442
273;26937;27850;35523
274;26937;27823;35548
275;26879;28039;35659
276;26877;28643;36075
277;26821;27519;35760
278;26819;27284;34960
279;26647;27333;35243
280;26589;27181;31607
281;26471;27044;31635
282;26453;26927;33713
283;26363;26912;32188
284;26240;26803;32097
285;26171;26815;34765
286;26055;26967;33976
287;25830;27105;34607
288;25783;26564;32525
289;25779;26599;33664
290;25624;26520;33173
291;25569;26171;33680
292;25494;26106;32333
293;25391;26178;32572
294;25253;25876;32079
295;25144;25785;30031
296;25020;25658;30013
297;24979;25535;33308
298;24901;25454;29642
299;24781;25333;29484
300;24717;25240;29579
301;24591;25157;29884
302;24486;25057;29441
